el,el_dot,Lin Vel,Ang. Vel,Yaw Rate Error,Input
-3.197118084477538,5.360240899622402,0,0,0,0.0
-3.1992990782738544,5.360240899622416,1.2655483484268188,0,0,-5.6982492196229275
-3.2004464965918684,5.360306121925242,1.499237298965454,0,0,-2.367997592415326
-3.2004464965918684,5.360306121925242,1.499237298965454,0,0,-2.0757799656664293
-3.2041291515307533,5.3603387330743475,1.7518261671066284,0,0,-1.73891718561157
-3.2041291515307533,5.3603387330743475,1.7518261671066284,0,0,-1.4187276863108353
-3.205438244065778,5.3603713442219245,1.7518261671066284,0,0,-1.1193840768011758
-3.205438244065778,5.3603713442219245,1.7518261671066284,0,0,-0.8331890497396581
-3.2111438632824827,5.357566779971223,2.0134944915771484,0,0,-0.5623115444636511
-3.2111438632824827,5.357566779971223,2.0134944915771484,0,0,-0.2936660411283151
-3.220452600078081,5.301049161551571,2.0134944915771484,0,0,-0.04972568432034527
-3.224875043225695,5.265371839886802,2.3087682723999023,0,0,0.22048113987797244
-3.224875043225695,5.265371839886802,2.3087682723999023,0,0,0.42474514746789027
-3.2336788616284333,5.216718635584768,2.3087682723999023,0,0,0.572557916786661
-3.2336788616284333,5.216718635584768,2.3087682723999023,0,0,0.8428965494566628
-3.237898254945252,5.206307790618977,2.6294424533843994,0,0,0.9718647740351941
-3.237898254945252,5.206307790618977,2.6294424533843994,0,0,1.1597093309741404
-2.9089880478535677,2.541629279732666,2.968461751937866,0,0,1.3100624342534857
-2.9089880478535677,2.541629279732666,2.968461751937866,0,0,4.625495139589943
-2.910990890714554,2.543747492108877,2.968461751937866,0,0,2.741901489101979
-2.910990890714554,2.543747492108877,2.968461751937866,0,0,3.142409814986917
-2.919626431490006,2.569460374472535,3.3259215354919434,0,0,3.30359222625964
-2.919626431490006,2.569460374472535,3.3259215354919434,0,0,3.395175697911894
-2.922853522179076,2.5842694806431306,3.3259215354919434,0,0,3.5681711388807975
-2.922853522179076,2.5842694806431306,3.3259215354919434,0,0,3.6774955973646772
-2.9245057756279262,2.5923406084078,3.7076618671417236,0,0,3.833546403634074
-2.9245057756279262,2.5923406084078,3.7076618671417236,0,0,3.952507384143342
-2.9312550147258203,2.6573325120308198,3.7076618671417236,0,0,4.096301969945219
-2.9312550147258203,2.6573325120308198,3.7076618671417236,0,0,4.064458371245313
-2.9323795947536087,2.7018152110707825,4.119844913482666,0,0,4.250687563070326
-2.9323795947536087,2.7018152110707825,4.119844913482666,0,0,4.248393802741565
-2.9326091034268096,2.78912384591871,4.533248424530029,0,0,4.412694979486618
-2.9326091034268096,2.78912384591871,4.533248424530029,0,0,4.305574966642381
-2.93090997686783,2.948340136789594,4.533248424530029,0,0,4.498096693715102
-2.93090997686783,2.948340136789594,4.533248424530029,0,0,4.193116739731974
-2.9295660814300173,3.0459124067825907,4.933740139007568,0,0,4.436503952843369
-2.9295660814300173,3.0459124067825907,4.933740139007568,0,0,4.24677050456297
-2.9288208284749104,3.1974128170182037,4.933740139007568,0,0,4.418321146406172
-2.9288208284749104,3.1974128170182037,4.933740139007568,0,0,4.091759410241977
-2.931265077536762,0.5925636633849047,5.317419528961182,0,0,4.3029746208482536
