 x_m, y_m, vx_mps, ax_mps2
17.5905482,235.7799745,63.3484388,0.3887735
17.762873,237.772235,63.3607099,0.3876247
17.9351974,239.7644954,63.3729424,0.3853128
18.1075213,241.7567559,63.3850996,0.384134
18.2798445,243.7490165,63.3972172,0.3829995
18.4521672,245.7412772,63.4092968,0.3807177
18.6244891,247.7335378,63.4213021,0.3795528
18.7968103,249.7257985,63.4332684,0.3784323
18.9691307,251.7180594,63.4451972,0.3761803
19.1414503,253.7103203,63.4570527,0.375029
19.3137689,255.7025812,63.4688698,0.3739223
19.4860866,257.6948423,63.4806498,0.3716996
19.6584032,259.6871034,63.4923576,0.3705618
19.8307188,261.6793646,63.5040274,0.3694687
20.0030333,263.671626,63.5156607,0.3672749
20.1753466,265.6638874,63.5272227,0.3661504
20.3476586,267.6561489,63.5387473,0.3650708
20.5199694,269.6484107,63.5502358,0.3629054
20.6922789,271.6406723,63.5616541,0.3617941
20.8645869,273.6329342,63.5730354,0.3607278
21.0368936,275.6251963,63.5843812,0.3585905
21.2091987,277.6174583,63.5956577,0.3574922
21.3815023,279.6097206,63.6068977,0.3564389
21.5538044,281.6019831,63.6181025,0.3543292
21.7261047,283.5942455,63.6292391,0.3532438
21.8984034,285.5865082,63.6403397,0.3522034
22.0707004,287.5787712,63.6514056,0.350121
22.2429956,289.5710341,63.6624042,0.3490482
22.4152889,291.5632972,63.6733672,0.3480206
22.5875804,293.5555607,63.6842961,0.345965
22.7598699,295.547824,63.6951585,0.3449048
22.9321574,297.5400877,63.7059858,0.3438897
23.104443,299.5323517,63.7167795,0.3418606
23.2767263,301.5246155,63.7275076,0.3408127
23.4490076,303.5168797,63.738201,0.3398101
23.6212867,305.5091443,63.7488612,0.337807
23.7935636,307.5014087,63.7594568,0.3367713
23.9658381,309.4936734,63.7700181,0.335781
24.1381104,311.4859387,63.7805467,0.3338036
24.3103802,313.4782036,63.7910115,0.33278
24.4826476,315.470469,63.8014425,0.3318017
24.6549126,317.4627349,63.8118412,0.3298496
24.827175,319.4550005,63.822177,0.3288379
24.9994349,321.4472665,63.8324794,0.3278716
25.1716921,323.439533,63.8427499,0.3259444
25.3439467,325.4317993,63.8529584,0.3249446
25.5161985,327.424066,63.863134,0.32399
25.6884476,329.4163333,63.873278,0.3220874
25.8606939,331.4086002,63.8833609,0.3210991
26.0329373,333.4008677,63.8934113,0.3201562
26.2051778,335.3931357,63.9034306,0.3182778
26.3774153,337.3854034,63.9133895,0.3173011
26.5496498,339.3776716,63.9233163,0.3163695
26.7218813,341.3699404,63.9332125,0.314515
26.8941095,343.3622089,63.9430491,0.3135496
27.0663344,345.354478,63.952854,0.3126294
27.2385561,347.3467477,63.9626287,0.3107984
