x,y,l_width,r_width
19.74033,226.5745,5,5
19.82824,227.57063,5,5
19.91614,228.56676,5,5
20.00404,229.56289,5,5
20.09194,230.55902,5,5
20.17985,231.55515,5,5
20.26775,232.55127,5,5
20.35565,233.5474,5,5
20.44356,234.54353,5,5
20.53146,235.53966,5,5
20.61936,236.53579,5,5
20.70726,237.53192,5,5
20.79517,238.52805,5,5
20.88307,239.52418,5,5
20.97097,240.52031,5,5
21.05888,241.51644,5,5
21.14678,242.51257,5,5
21.23468,243.50869,5,5
21.32258,244.50482,5,5
21.41049,245.50095,5,5
21.49839,246.49708,5,5
21.58629,247.49321,5,5
21.67419,248.48934,5,5
21.7621,249.48547,5,5
21.85,250.4816,5,5
21.9379,251.47773,5,5
22.02581,252.47386,5,5
22.11371,253.46998,5,5
22.20161,254.46611,5,5
22.28951,255.46224,5,5
22.37742,256.45837,5,5
22.46532,257.4545,5,5
22.55322,258.45063,5,5
22.64113,259.44676,5,5
22.72903,260.44289,5,5
22.81693,261.43902,5,5
22.90483,262.43515,5,5
22.99274,263.43128,5,5
23.08064,264.4274,5,5
23.16854,265.42353,5,5
23.25645,266.41966,5,5
23.34435,267.41579,5,5
23.43225,268.41192,5,5
23.52015,269.40805,5,5
23.60806,270.40418,5,5
23.69596,271.40031,5,5
23.78386,272.39644,5,5
23.87177,273.39257,5,5
23.95967,274.38869,5,5
24.04757,275.38482,5,5
24.13547,276.38095,5,5
24.22338,277.37708,5,5
24.31128,278.37321,5,5
24.39918,279.36934,5,5
24.48709,280.36547,5,5
24.57499,281.3616,5,5
24.66289,282.35773,5,5
24.75079,283.35386,5,5
24.8387,284.34999,5,5
24.9266,285.34611,5,5
25.0145,286.34224,5,5
25.10241,287.33837,5,5
25.19031,288.3345,5,5
25.27821,289.33063,5,5
25.36611,290.32676,5,5
25.45402,291.32289,5,5
25.54192,292.31902,5,5
25.62982,293.31515,5,5
25.71773,294.31128,5,5
25.80563,295.30741,5,5
25.89353,296.30353,5,5
25.98143,297.29966,5,5
26.06934,298.29579,5,5
26.15724,299.29192,5,5
26.24514,300.28805,5,5
26.33305,301.28418,5,5
26.42095,302.28031,5,5
26.50885,303.27644,5,5
26.59675,304.27257,5,5
26.68466,305.2687,5,5
26.77256,306.26482,5,5
26.86046,307.26095,5,5
26.94837,308.25708,5,5
27.03627,309.25321,5,5
27.12417,310.24934,5,5
27.21207,311.24547,5,5
27.29998,312.2416,5,5
27.38788,313.23773,5,5
27.47578,314.23386,5,5
27.56369,315.22999,5,5
27.65159,316.22612,5,5
27.73949,317.22224,5,5
27.82739,318.21837,5,5
27.9153,319.2145,5,5
28.0032,320.21063,5,5
28.0911,321.20676,5,5
28.17901,322.20289,5,5
28.26691,323.19902,5,5
28.35481,324.19515,5,5
28.44271,325.19128,5,5
28.53062,326.18741,5,5
28.61852,327.18353,5,5
28.70642,328.17966,5,5
28.79432,329.17579,5,5
28.88223,330.17192,5,5
28.97013,331.16805,5,5
29.05803,332.16418,5,5
29.14594,333.16031,5,5
29.23384,334.15644,5,5
29.32174,335.15257,5,5
29.40964,336.1487,5,5
29.49755,337.14483,5,5
29.58545,338.14095,5,5
29.67335,339.13708,5,5
29.76126,340.13321,5,5
29.84916,341.12934,5,5
29.93706,342.12547,5,5
30.02496,343.1216,5,5
30.11287,344.11773,5,5
30.20077,345.11386,5,5
30.28867,346.10999,5,5
30.37658,347.10612,5,5
30.46448,348.10224,5,5
30.55238,349.09837,5,5
30.64028,350.0945,5,5
30.72819,351.09063,5,5
30.81609,352.08676,5,5
30.90399,353.08289,5,5
30.9919,354.07902,5,5
31.0798,355.07515,5,5
31.1677,356.07128,5,5
31.2556,357.06741,5,5
31.34351,358.06354,5,5
31.43141,359.05966,5,5
31.51931,360.05579,5,5
31.60722,361.05192,5,5
31.69512,362.04805,5,5
31.78302,363.04418,5,5
31.87092,364.04031,5,5
31.95883,365.03644,5,5
32.04673,366.03257,5,5
32.13463,367.0287,5,5
32.22254,368.02483,5,5
32.31044,369.02095,5,5
32.39834,370.01708,5,5
32.48624,371.01321,5,5
32.57415,372.00934,5,5
32.66205,373.00547,5,5
32.74995,374.0016,5,5
32.83786,374.99773,5,5
32.92576,375.99386,5,5
33.01366,376.98999,5,5
33.10156,377.98612,5,5
33.18947,378.98225,5,5
33.27737,379.97837,5,5
33.36527,380.9745,5,5
33.45318,381.97063,5,5
33.54108,382.96676,5,5
33.62898,383.96289,5,5
33.71688,384.95902,5,5
33.80479,385.95515,5,5
33.89269,386.95128,5,5
33.98059,387.94741,5,5
34.0685,388.94354,5,5
34.1564,389.93967,5,5
34.2443,390.93579,5,5
34.3322,391.93192,5,5
34.42011,392.92805,5,5
34.50801,393.92418,5,5
34.59591,394.92031,5,5
34.68382,395.91644,5,5
34.77172,396.91257,5,5
34.85962,397.9087,5,5
34.94752,398.90483,5,5
35.03543,399.90096,5,5
35.12333,400.89708,5,5
35.21123,401.89321,5,5
35.29914,402.88934,5,5
35.38704,403.88547,5,5
35.47494,404.8816,5,5
35.56284,405.87773,5,5
35.65075,406.87386,5,5
35.73865,407.86999,5,5
35.82655,408.86612,5,5
35.91446,409.86225,5,5
36.00236,410.85838,5,5
36.09026,411.8545,5,5
36.17816,412.85063,5,5
36.26607,413.84676,5,5
36.35397,414.84289,5,5
36.44187,415.83902,5,5
36.52977,416.83515,5,5
36.61768,417.83128,5,5
36.70558,418.82741,5,5
