s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
129.9804578; 8.4584946; 130.1900721; -0.0862388; -0.0000011; 62.6178348; 0.4818080
131.9801571; 8.6307346; 132.1823387; -0.0862410; -0.0000011; 62.6332194; 0.4788707
133.9798565; 8.8029793; 134.1746072; -0.0862432; -0.0000011; 62.6485065; 0.4774061
135.9795558; 8.9752282; 136.1668742; -0.0862453; -0.0000010; 62.6637432; 0.4759834
137.9792552; 9.1474812; 138.1591397; -0.0862474; -0.0000010; 62.6789307; 0.4730851
139.9789545; 9.3197383; 140.1514071; -0.0862493; -0.0000010; 62.6940221; 0.4716387
141.9786539; 9.4919992; 142.1436731; -0.0862512; -0.0000009; 62.7090638; 0.4702340
143.9783532; 9.6642637; 144.1359376; -0.0862531; -0.0000009; 62.7240571; 0.4673742
145.9780526; 9.8365320; 146.1282041; -0.0862549; -0.0000009; 62.7389556; 0.4659456
147.9777519; 10.0088037; 148.1204692; -0.0862566; -0.0000008; 62.7538051; 0.4645586
149.9774513; 10.1810787; 150.1127327; -0.0862582; -0.0000008; 62.7686069; 0.4617368
151.9771506; 10.3533570; 152.1049984; -0.0862598; -0.0000008; 62.7833153; 0.4603258
153.9768500; 10.5256384; 154.0972626; -0.0862613; -0.0000008; 62.7979753; 0.4589562
155.9765493; 10.6979227; 156.0895253; -0.0862628; -0.0000007; 62.8125883; 0.4561719
157.9762487; 10.8702100; 158.0817902; -0.0862642; -0.0000007; 62.8271093; 0.4547781
159.9759480; 11.0425000; 160.0740537; -0.0862656; -0.0000007; 62.8415826; 0.4534258
161.9756474; 11.2147926; 162.0663157; -0.0862669; -0.0000006; 62.8560095; 0.4506784
163.9753467; 11.3870879; 164.0585799; -0.0862681; -0.0000006; 62.8703458; 0.4493016
165.9750461; 11.5593855; 166.0508427; -0.0862693; -0.0000006; 62.8846350; 0.4479663
167.9747454; 11.7316853; 168.0431041; -0.0862705; -0.0000006; 62.8988784; 0.4452554
169.9744448; 11.9039876; 170.0353677; -0.0862716; -0.0000005; 62.9130325; 0.4438952
171.9741441; 12.0762919; 172.0276299; -0.0862726; -0.0000005; 62.9271402; 0.4425767
173.9738435; 12.2485981; 174.0198907; -0.0862736; -0.0000005; 62.9412029; 0.4399017
175.9735428; 12.4209065; 176.0121539; -0.0862745; -0.0000005; 62.9551774; 0.4385580
177.9732422; 12.5932166; 178.0044156; -0.0862754; -0.0000003; 62.9691061; 0.4372561
179.9729415; 12.7655278; 179.9966759; -0.0862758; -0.0000001; 62.9829905; 0.4346168
181.9726409; 12.9378398; 181.9889380; -0.0862760; -0.0000001; 62.9967880; 0.4332890
183.9723402; 13.1101522; 183.9811991; -0.0862764; -0.0000002; 63.0105403; 0.4320031
185.9720396; 13.2824657; 185.9734603; -0.0862770; -0.0000004; 63.0242489; 0.4293986
187.9717389; 13.4547806; 187.9657218; -0.0862777; -0.0000003; 63.0378718; 0.4280867
